,batch_size,neurons,dropout,filter_size,kernel_size,stride,test_loss,test_accuracy,val_loss,val_accuracy,precision,recall,f1_score
0,650,250,0.2,128,4,4,0.2127089649438858,0.9135894179344177,0.3278219997882843,0.8677752614021301,0.9172787090824697,0.9055543357407548,0.9112203215519945
1,150,250,0.4,128,8,6,0.18577419221401215,0.9245295524597168,0.2599306106567383,0.9039283394813538,0.9252043754915076,0.921219583120659,0.9231553398466179
2,650,500,0.4,128,8,4,0.18535098433494568,0.9260443449020386,0.3755663335323334,0.8589558005332947,0.9256020802765744,0.9245397627757299,0.9249925672679803
3,650,2500,0.2,32,4,4,0.22203722596168518,0.9102904796600342,0.3292868435382843,0.8716127276420593,0.9062376876663345,0.9215930313058497,0.9121800442262092
4,50,500,0.4,32,4,6,0.21644943952560425,0.9140269756317139,0.3566376864910126,0.845356285572052,0.9143742188267909,0.9128088961023185,0.9134469868377288
5,150,1750,0.2,32,4,4,0.1983427256345749,0.9201534986495972,0.29405415058135986,0.8838993906974792,0.9195088093594229,0.9174072424170222,0.9184275442053753
6,300,1750,0.2,64,8,4,0.18167853355407715,0.9262126684188843,0.2695552408695221,0.8980374932289124,0.9234961465588691,0.9284539447766372,0.9257315372639662
7,50,1000,0.4,64,4,4,0.2055230587720871,0.9173932075500488,0.2656586766242981,0.8973642587661743,0.9154785609640897,0.921420015592323,0.9178906285837148
8,50,2500,0.2,32,6,6,0.19873036444187164,0.9185713529586792,0.24510906636714935,0.905342161655426,0.915601895286279,0.9236152087059173,0.9188932111808038
9,50,2500,0.4,32,8,4,0.1857278048992157,0.9242939352989197,0.22943636775016785,0.9120409488677979,0.921982647249168,0.9263322077623869,0.9238269889456351
10,650,500,0.2,128,6,6,0.18685512244701385,0.9217356443405151,0.3326127231121063,0.8735988140106201,0.9236522763882645,0.9151554640740741,0.9193008967729973
11,50,1000,0.2,128,8,6,0.18592007458209991,0.9247315526008606,0.22396881878376007,0.9099538922309875,0.9266223943610404,0.9188432334625128,0.9226581063713907
12,650,2500,0.2,128,8,4,0.18116255104541779,0.9274581670761108,0.3127625584602356,0.8663278222084045,0.9261394901019994,0.9256390176338368,0.9258724042708467
13,150,250,0.4,32,6,4,0.19454926252365112,0.9225435256958008,0.2961454391479492,0.8820480108261108,0.9263379926854696,0.9143116363726854,0.9201353575037491
14,300,1750,0.2,128,4,6,0.19597069919109344,0.9209613800048828,0.3409242331981659,0.853906512260437,0.9185111227077661,0.9217464380592767,0.9199666744507414
