,test_loss,test_accuracy,val_loss,val_accuracy,precision,recall,f1_score
count,100.0,100.0,100.0,100.0,100.0,100.0,100.0
mean,0.19370152056217194,0.9216894507408142,0.30159080028533936,0.8759980201721191,0.9231983423233032,0.9173073768615723,0.9198665022850037
std,0.011572361923754215,0.0048746452666819096,0.05480974167585373,0.03264389932155609,0.005329121369868517,0.008250405080616474,0.005248074885457754
min,0.1773858219385147,0.9013700485229492,0.22396881878376007,0.6579594016075134,0.901517391204834,0.8742250800132751,0.8927085995674133
25%,0.1845305934548378,0.9197495579719543,0.2665662467479706,0.8652842789888382,0.9197451025247574,0.9137063175439835,0.9183066189289093
50%,0.19264262914657593,0.9223752021789551,0.2934080809354782,0.8807351887226105,0.9240432679653168,0.9188396632671356,0.9199590384960175
75%,0.19927431643009186,0.9252196550369263,0.3262179046869278,0.8960177600383759,0.9265718311071396,0.9217326194047928,0.9234083294868469
max,0.2409885674715042,0.9282324314117432,0.581390380859375,0.9120409488677979,0.9323976635932922,0.9316211342811584,0.9270784854888916
